"","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor","Tumor"
"Hsa.3004",13.0684958341405,12.6570387228993,12.3436142703998,12.2633274197188,12.112686209367,13.0684958341405,12.4443259926963,12.3436142703998,13.0684958341405,12.4443259926963,12.8398811942479,12.4443259926963,12.209550350436,13.0684958341405,13.0684958341405,13.0684958341405,12.8398811942479,12.8398811942479,12.0743830932883,12.4443259926963,13.0684958341405,13.0684958341405,13.0684958341405,12.1513206241908,12.2633274197188,13.0684958341405,12.5413878813478,13.0684958341405,12.6570387228993,12.3436142703998,13.0684958341405,13.0684958341405,12.8398811942479,12.1513206241908,12.5413878813478,13.0684958341405,13.0684958341405,12.8398811942479,13.0684958341405,13.0684958341405,12.6570387228993,13.0684958341405,13.0684958341405,12.5413878813478,13.0684958341405,12.6570387228993,12.209550350436,12.4443259926963,13.0684958341405,12.5413878813478,13.0684958341405,12.6570387228993,13.0684958341405,12.209550350436,13.0684958341405,12.8398811942479,13.0684958341405,13.0684958341405,12.1513206241908,12.8398811942479,12.6570387228993,13.0684958341405
"Hsa.13491",12.6570387228993,12.8398811942479,11.8279939560453,11.978384271868,12.0340178218567,12.4443259926963,12.3436142703998,11.7768656513819,12.3436142703998,11.410624279211,12.4443259926963,12.6570387228993,13.0684958341405,12.8398811942479,11.1982841279187,11.9366507014311,12.0743830932883,12.4443259926963,12.5413878813478,12.1513206241908,12.2633274197188,12.112686209367,12.6570387228993,12.3436142703998,12.8398811942479,12.4443259926963,12.3436142703998,10.8083040792797,13.0684958341405,12.8398811942479,11.5232504271384,12.3436142703998,12.5413878813478,11.3007695386135,11.978384271868,12.6570387228993,12.5413878813478,13.0684958341405,12.5413878813478,12.209550350436,12.8398811942479,10.9450576941013,11.410624279211,12.8398811942479,12.3436142703998,12.209550350436,13.0684958341405,11.2824021571064,12.4443259926963,13.0684958341405,10.8991284760918,12.112686209367,10.9088564788762,11.7768656513819,12.4443259926963,12.4443259926963,12.4443259926963,12.209550350436,12.3436142703998,12.5413878813478,12.5413878813478,12.6570387228993
"Hsa.13491",12.3436142703998,12.5413878813478,11.4992336531351,11.6748627772403,11.5945759383634,12.0340178218567,12.0340178218567,11.3633593044258,11.9366507014311,10.9450576941013,12.0743830932883,12.1513206241908,12.5413878813478,12.209550350436,10.8745530699594,11.8279939560453,11.6748627772403,12.0340178218567,12.4443259926963,11.6470889576503,11.3838750572475,11.4521459844016,12.2633274197188,12.2633274197188,12.5413878813478,12.2633274197188,11.8616202492695,10.341230416817,12.8398811942479,12.112686209367,11.3248409016373,12.209550350436,12.209550350436,11.0410120367946,11.7768656513819,12.2633274197188,12.3436142703998,12.5413878813478,12.0743830932883,11.8616202492695,12.3436142703998,10.8361884620318,11.1680031988652,12.4443259926963,12.112686209367,11.7768656513819,12.8398811942479,11.2460375610607,12.209550350436,12.8398811942479,10.735663699998,11.978384271868,10.735663699998,11.3248409016373,11.8905217730701,12.1513206241908,12.5413878813478,11.3007695386135,12.209550350436,12.4443259926963,12.1513206241908,12.0743830932883
"Hsa.37254",11.7448938400637,12.0743830932883,12.6570387228993,12.5413878813478,12.8398811942479,12.5413878813478,11.6748627772403,11.3248409016373,11.978384271868,12.8398811942479,11.8616202492695,11.8905217730701,10.6538385612343,12.112686209367,11.8279939560453,11.2460375610607,11.3007695386135,11.7134849798304,11.5684357136978,11.8616202492695,11.4521459844016,12.0340178218567,12.209550350436,12.209550350436,12.6570387228993,12.8398811942479,12.6570387228993,12.6570387228993,12.0743830932883,11.6748627772403,11.7134849798304,12.5413878813478,12.1513206241908,11.0895705067101,11.4992336531351,11.9366507014311,11.8616202492695,11.8279939560453,12.112686209367,12.112686209367,11.8616202492695,12.2633274197188,12.0743830932883,11.7448938400637,12.0743830932883,11.0736561368819,12.5413878813478,10.8083040792797,11.5232504271384,11.0211522645792,11.9366507014311,11.5448405271463,11.6748627772403,10.9088564788762,11.7134849798304,11.0410120367946,11.1497876762975,11.8905217730701,11.8616202492695,11.4521459844016,11.3248409016373,12.112686209367
"Hsa.541",10.9298353712685,11.410624279211,11.6748627772403,11.0895705067101,11.2824021571064,11.2824021571064,11.7134849798304,12.4443259926963,12.209550350436,11.7134849798304,10.5653969459655,12.5413878813478,11.1982841279187,11.2629697359488,10.7461310992411,10.6086462174128,11.5945759383634,11.7448938400637,11.4992336531351,10.8218340180217,10.7461310992411,11.2824021571064,11.1497876762975,11.0211522645792,11.4992336531351,11.8279939560453,11.978384271868,11.7768656513819,11.978384271868,11.5945759383634,12.1513206241908,11.7448938400637,10.70126956606,12.209550350436,11.5684357136978,11.2824021571064,11.1982841279187,11.4297637516201,10.6190999821738,11.0736561368819,11.3838750572475,11.5448405271463,11.7448938400637,11.410624279211,10.8479293644897,12.3436142703998,10.4193112097907,12.112686209367,11.8616202492695,11.6194286158615,11.5945759383634,10.7985726615859,11.5232504271384,11.2824021571064,10.8866075474637,12.3436142703998,11.9366507014311,11.2460375610607,11.4521459844016,11.4801165538464,11.7768656513819,11.341454708019
"Hsa.20836",12.4443259926963,11.4801165538464,11.5684357136978,11.6470889576503,12.209550350436,11.7768656513819,12.0743830932883,12.8398811942479,11.3007695386135,11.5684357136978,12.2633274197188,11.7768656513819,12.8398811942479,10.9863884549021,12.3436142703998,11.341454708019,13.0684958341405,13.0684958341405,11.7134849798304,11.3633593044258,12.6570387228993,12.6570387228993,12.5413878813478,11.5684357136978,11.9366507014311,12.3436142703998,10.2817623662936,11.6194286158615,12.1513206241908,12.209550350436,11.9366507014311,11.0895705067101,12.6570387228993,12.2633274197188,12.0743830932883,12.3436142703998,12.8398811942479,12.3436142703998,12.8398811942479,12.5413878813478,12.5413878813478,12.0743830932883,12.8398811942479,12.1513206241908,12.5413878813478,11.4801165538464,12.2633274197188,11.978384271868,12.8398811942479,11.8279939560453,11.8616202492695,13.0684958341405,11.410624279211,12.3436142703998,12.8398811942479,11.8905217730701,12.1513206241908,12.1513206241908,11.4992336531351,12.2633274197188,13.0684958341405,12.5413878813478
"Hsa.1977",11.8616202492695,11.0410120367946,11.1982841279187,10.8866075474637,11.978384271868,11.2629697359488,11.978384271868,12.0743830932883,11.2460375610607,11.5945759383634,11.8905217730701,12.0340178218567,11.8279939560453,10.9205577977834,11.6748627772403,11.8616202492695,11.978384271868,11.8616202492695,11.1680031988652,11.8279939560453,12.4443259926963,11.4992336531351,11.3007695386135,11.1982841279187,11.4297637516201,11.8905217730701,10.7124605746993,12.4443259926963,12.209550350436,11.1497876762975,12.112686209367,10.7708410322163,11.6194286158615,12.112686209367,11.7134849798304,12.209550350436,12.4443259926963,12.112686209367,12.6570387228993,12.0340178218567,11.7448938400637,12.3436142703998,12.1513206241908,11.6194286158615,11.4801165538464,11.3633593044258,12.0340178218567,12.3436142703998,12.2633274197188,11.0736561368819,11.4297637516201,12.4443259926963,11.4801165538464,12.0340178218567,12.209550350436,11.2460375610607,11.1207521976102,11.9366507014311,11.0562570538484,11.8616202492695,12.2633274197188,11.5448405271463
"Hsa.44472",11.3248409016373,11.2292030670983,12.2633274197188,12.0340178218567,11.5684357136978,10.8479293644897,11.8279939560453,10.6086462174128,12.4443259926963,12.0743830932883,11.4992336531351,12.3436142703998,11.2292030670983,11.9366507014311,11.1497876762975,11.0562570538484,11.1680031988652,11.4992336531351,11.6194286158615,11.2824021571064,10.0369802768006,11.1330881305255,11.7768656513819,11.4992336531351,11.978384271868,11.5448405271463,10.97222513169,11.1330881305255,12.2633274197188,11.8279939560453,11.8616202492695,11.978384271868,11.8279939560453,11.978384271868,11.9366507014311,11.0410120367946,10.97222513169,11.4992336531351,10.5150558159221,10.8991284760918,11.1680031988652,11.3838750572475,11.5232504271384,11.9366507014311,11.0049496276478,12.1513206241908,11.4992336531351,11.5945759383634,11.2824021571064,11.5232504271384,11.4801165538464,10.8479293644897,11.6470889576503,11.5684357136978,10.5339964109719,11.6194286158615,11.7768656513819,11.1330881305255,11.1982841279187,11.4297637516201,11.6470889576503,10.8083040792797
"Hsa.3087",12.8398811942479,12.0340178218567,11.5945759383634,12.4443259926963,11.9366507014311,12.8398811942479,11.6470889576503,11.5684357136978,12.5413878813478,11.8905217730701,12.6570387228993,11.8616202492695,10.7871064726795,12.1513206241908,10.6086462174128,11.5945759383634,12.0340178218567,12.112686209367,11.0736561368819,12.0743830932883,12.3436142703998,12.3436142703998,12.8398811942479,12.0743830932883,12.3436142703998,12.6570387228993,12.209550350436,12.8398811942479,11.8905217730701,11.9366507014311,12.8398811942479,12.8398811942479,12.2633274197188,11.2824021571064,11.8905217730701,12.5413878813478,12.6570387228993,12.2633274197188,12.2633274197188,12.6570387228993,12.209550350436,12.6570387228993,12.3436142703998,11.978384271868,12.6570387228993,11.8279939560453,12.4443259926963,11.4801165538464,12.3436142703998,11.8905217730701,12.5413878813478,12.0743830932883,11.7768656513819,11.1497876762975,12.6570387228993,12.209550350436,12.0743830932883,10.358913288719,11.5684357136978,11.7134849798304,11.7448938400637,11.978384271868
"Hsa.1447",12.209550350436,12.2633274197188,11.2135398401639,11.8616202492695,11.6470889576503,12.1513206241908,11.7448938400637,12.6570387228993,11.4521459844016,11.341454708019,11.9366507014311,11.7448938400637,12.4443259926963,11.6470889576503,11.410624279211,11.6194286158615,11.8905217730701,12.3436142703998,12.2633274197188,11.9366507014311,12.112686209367,11.3838750572475,12.3436142703998,11.978384271868,12.112686209367,12.5413878813478,12.0743830932883,10.8745530699594,11.8279939560453,12.1513206241908,11.341454708019,11.8616202492695,13.0684958341405,11.5232504271384,11.8616202492695,11.7448938400637,12.209550350436,12.209550350436,12.209550350436,11.9366507014311,13.0684958341405,10.4012688686947,10.6538385612343,11.8905217730701,12.4443259926963,11.341454708019,12.0743830932883,11.6748627772403,12.0340178218567,12.6570387228993,11.1838279453802,11.6748627772403,11.1330881305255,11.410624279211,11.410624279211,11.4992336531351,12.8398811942479,11.7134849798304,12.112686209367,12.3436142703998,12.112686209367,11.6194286158615
